"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x178","0x4","jfieldID _func_330(JNIEnv * env\, jclass clazz\, char * name\, char * sig) *","_func_330 *","GetFieldID",""
"0x17c","0x4","jobject _func_331(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_331 *","GetObjectField",""
"0x180","0x4","jboolean _func_332(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_332 *","GetBooleanField",""
"0x184","0x4","jbyte _func_333(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_333 *","GetByteField",""
"0x188","0x4","jchar _func_334(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_334 *","GetCharField",""
"0x18c","0x4","jshort _func_335(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_335 *","GetShortField",""
"0x190","0x4","jint _func_336(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_336 *","GetIntField",""
"0x194","0x4","jlong _func_337(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_337 *","GetLongField",""
"0x198","0x4","jfloat _func_338(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_338 *","GetFloatField",""
"0x19c","0x4","jdouble _func_339(JNIEnv * env\, jobject obj\, jfieldID fieldID) *","_func_339 *","GetDoubleField",""
"0x1a0","0x4","void _func_340(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jobject val) *","_func_340 *","SetObjectField",""
"0x1a4","0x4","void _func_341(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jboolean val) *","_func_341 *","SetBooleanField",""
"0x1a8","0x4","void _func_342(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jbyte val) *","_func_342 *","SetByteField",""
"0x1ac","0x4","void _func_343(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jchar val) *","_func_343 *","SetCharField",""
"0x1b0","0x4","void _func_344(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jshort val) *","_func_344 *","SetShortField",""
"0x1b4","0x4","void _func_345(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jint val) *","_func_345 *","SetIntField",""
"0x1b8","0x4","void _func_346(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jlong val) *","_func_346 *","SetLongField",""
"0x1bc","0x4","void _func_347(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jfloat val) *","_func_347 *","SetFloatField",""
"0x1c0","0x4","void _func_348(JNIEnv * env\, jobject obj\, jfieldID fieldID\, jdouble val) *","_func_348 *","SetDoubleField",""
"0x1c4","0x4","jmethodID _func_349(JNIEnv * env\, jclass clazz\, char * name\, char * sig) *","_func_349 *","GetStaticMethodID",""
"0x1c8","0x4","jobject _func_350(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_350 *","CallStaticObjectMethod",""
"0x1cc","0x4","jobject _func_351(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_351 *","CallStaticObjectMethodV",""
"0x1d0","0x4","jobject _func_352(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_352 *","CallStaticObjectMethodA",""
"0x1d4","0x4","jboolean _func_353(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_353 *","CallStaticBooleanMethod",""
"0x1d8","0x4","jboolean _func_354(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_354 *","CallStaticBooleanMethodV",""
"0x1dc","0x4","jboolean _func_355(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_355 *","CallStaticBooleanMethodA",""
"0x1e0","0x4","jbyte _func_356(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_356 *","CallStaticByteMethod",""
"0x1e4","0x4","jbyte _func_357(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_357 *","CallStaticByteMethodV",""
"0x1e8","0x4","jbyte _func_358(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_358 *","CallStaticByteMethodA",""
"0x1ec","0x4","jchar _func_359(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_359 *","CallStaticCharMethod",""
"0x1f0","0x4","jchar _func_360(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_360 *","CallStaticCharMethodV",""
"0x1f4","0x4","jchar _func_361(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_361 *","CallStaticCharMethodA",""
"0x1f8","0x4","jshort _func_362(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_362 *","CallStaticShortMethod",""
"0x1fc","0x4","jshort _func_363(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_363 *","CallStaticShortMethodV",""
"0x200","0x4","jshort _func_364(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_364 *","CallStaticShortMethodA",""
"0x204","0x4","jint _func_365(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_365 *","CallStaticIntMethod",""
"0x208","0x4","jint _func_366(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_366 *","CallStaticIntMethodV",""
"0x20c","0x4","jint _func_367(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_367 *","CallStaticIntMethodA",""
"0x210","0x4","jlong _func_368(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_368 *","CallStaticLongMethod",""
"0x214","0x4","jlong _func_369(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_369 *","CallStaticLongMethodV",""
"0x218","0x4","jlong _func_370(JNIEnv * env\, jclass clazz\, jmethodID methodID\, jvalue * args) *","_func_370 *","CallStaticLongMethodA",""
"0x21c","0x4","jfloat _func_371(JNIEnv * env\, jclass clazz\, jmethodID methodID\, ...) *","_func_371 *","CallStaticFloatMethod",""
"0x220","0x4","jfloat _func_372(JNIEnv * env\, jclass clazz\, jmethodID methodID\, void * args) *","_func_372 *","CallStaticFloatMethodV",""
