sha256,java,native,lib,time
3b71c02099c27b2a1eb93c7e1365d8bcda8ee84fe280c781cd6e3678d410fa4d,23158,0,0,104.1863556
3f2951e0bc2af32b32666bf4fe08367302715205c2d429ff96aa59628d593d29,135,0,0,17324.49778
29f064a5528ce6633cfd63f93c70903c768637fc61412f5254556f6b4054fc64,8117,1554,0,91.4793756
024ba9cf9746ebb0a96b447a678f9362c7d05383ab20e9b4fc268a6eed3cb5b0,90099,9520,0,464.6668692
0c21a56cdbe8703a79874b411975a921a82afbaf28ed4cce62ca2e026a4b14ed,162,0,0,1114.675575
25efc2268aa61dd88266299b5ae336a86499e299e0390be74c2ec666ee21dd2b,135,0,0,835.1977499
04edada0f9506f0ca6896f6b3922b2c596b0a029edb66ff7afc37da2892a2639,27473,999,0,12257.41103
0ebeafeb9404ae4437537e30f12fc372d21fb0d0282ef4ff36b60634c5aeb004,65863,75,0,239.5683219
ac4d0a01a927e84cbdf8c8b5f7ddbd3d07bb79c4e80e8ed0b85dd83121025705, 56171,217,0, 108.03477239608765
aaa2fd1edd5deb06a2c79eb1c920d2f0ceb1435131089841ae3bdb0aecf415b4, 14385,1057,1, 225.8593327999115
efe368b0131387125f61f1e260a60140598ba8660cc29fe52f6b98f92dc08405, 78113,75,0, 243.6215057373047
c7c46f7e5f58b1e6912bc0638475840741caed5685af0ab6b563a637b92d41a3, 20447,740,94, 61.98497486114502
ad2d1366ce17d00889f98a2e258e448df1c3bd20bdf7cd24667cc70f4eddf68b, 243,0,0, 15744.943552970886
e28d6feff2c5eee2117c2a63f319d599ceb1aaf5ae831b4474f69a8ed7befe89, 65863,75,0, 209.49757432937622
b5c82034117c447659481738982e54be3ce707a803eacdb2797de00a76f34508, 20709,740,94, 122.20851349830627
d7d47abc80cdbc7d0aedf9b8e863e28f0b79ca47d71155a3d364ef096df98d7e, 30144,740,94, 83.19681596755981
ed6ae6a425d76c10840beae316ac575aef589dff973d4eecc3b1f31ecfed3fab, 49887,75,0, 4420.059686183929
ac48e0526730a611d363ae5dbfd2f3aa4296bd71c66e13b9db3d272b754edcd9, 13885,740,94, 132.72268104553223
e51a17e86e10dbfda43488f7a38c466537ef6faf9105812b7861972ad4962ef5, 246419,15382,11, 1243.8693268299103
7fcc7930246c32e31b28b9c6657ec3a7ddc0697cba8711ca9b347834339dc6aa, 29584,740,94, 73.31488537788391
9c6c6a40b7e5f69dd51657c6f0c330f77e967c64e1bbfee2e03034b52d3b4ed3, 64517,111,0, 106.63463854789734
ae01cac8d8c73050d1adc3d2d0ded9f9d530e4574be5ffd17427984c75469c61, 17138,740,94, 56.11779427528381
fe5fe15cde9f9271c31e686582307a2f3bad8f09aafdee942a5d3497107a4d22, 29798,0,0, 233.9254710674286
82469085f7f459054b82bd1a17ec8b07d4dbf7ffa8f89f632a6d7c7c04a0ef54, 36587,740,94, 89.665771484375
b24b268c7c9574bb5ffa48c239f77089bd14ba3ea8b6dde3da42958569477d01, 30144,740,94, 84.03122806549072
e23ee2230619f27f7beed38200eb97ef8cbb200b448a08b68e7baa179f127688, 40253,740,94, 95.31399655342102
e8a1a1f495bcc6bd0e4e2335e6816005b491517c2116b446e7c2e384ffad61a0, 65863,75,0, 207.84996843338013
95365f74b549edbe39e5162dc5c005283a7f31a72b847ef55692b184f7515335, 39925,740,94, 128.5308117866516
bd5d51ea642fd40fee31f2177257e33e91385a036415ba70aea86270765edaab, 26984,740,94, 72.86368227005005
acf5f94f46b4a3c5f8b1d53accf11f1e6cff56aaad50e7b0f9e1d85fc8656c0c, 26973,740,94, 72.63472843170166
e9484114f77952ece8234927bcc865886938c41f4f4657741f01b22a214e10fa, 36667,740,94, 122.20887804031372
d7ee7a41f36958ae62e5434395190e1f427c415260dbd4fb62fd2900c0dcaae2, 36032,75,0, 160.80760979652405
d0f06064fd7c105afb139a30010104e1fe4a41a0967e450f9509ed7aa793aa1a, 30573,740,94, 78.34215593338013
d33c36e9b28cda0c83324a7ed49237960d6c2f0865cce9cfcda691f0a05169d7, 16701,300,0, 82.59025239944458
8e662a20ad2a049b9b11c770d47c2db0c555ae2a863c7eef57a394dae1d40f6b, 26973,740,94, 72.70774674415588
d6c057170770ac92bb16ea36217105f42e60281fd49415af035a3a8076fd6181, 17138,740,94, 55.59842586517334
ded693418a1c5368e377ac654e06a5bac04faff52ee0ef42a31eebcbf1cca2e0, 70331,740,94, 145.91186332702637
80612fe193401626268553c54a865e67b76311e782005ede2ba7a87a5d637420, 21242,740,94, 61.54570984840393
db293fd1f3ab31b677b5e10a8f2176b7b286b64d2e491ace0c53b32fc252e8ad, 0,0,0, 889.0441780090332
e5bdddd04c0a90f80298f187f2f3ca39341352ae3e9be2964cf61e4879bacece, 65863,75,0, 208.69437742233276
ffbd2c7ac562d6907c7f931bdcd4acf9dada03d4173e5b088b201fa9712f373b, 65863,75,0, 209.28583765029907
efde47aa921f1036abe076cba0d7ed00f8b1d0ed30898823437ff98b32da094c, 65863,75,0, 208.37467551231384
c846a255f1192c3199d13fb11466a714a86fe1c9eba08357c1f0c08de5be8b16, 297,0,0, 267.9450526237488
de68ac7b595350de4a21104f7a9b9786b3a05ce0a318c92b525e8f4d801bbbeb, 20402,740,94, 61.35047912597656
